timestamp_ns,timestamp_iso,market_id,market_mid_price,best_bid,best_ask,spread_bps,fair_value,fair_value_skew,bias,ai_confidence,context_age_seconds,reference_volatility,current_volatility,vol_multiplier,quoted_bid,quoted_ask,effective_spread_bps,inventory_value,inventory_direction,inventory_skew,hft_total_value,decision,decision_reason,trade_side,trade_size,execution_price,fill_latency_ms,slippage_bps,markout_1s,markout_5s
1769555302508616750,2026-01-27T23:08:22.508617+00:00,stress_test_market_001,0.5,0.495,0.505,200,0.5,0.0,0.2,0.7,0.0,0.01,0.01,1.0,0.0,0.0,71,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302518754110,2026-01-27T23:08:22.518756+00:00,stress_test_market_001,0.5,0.495,0.505,200,0.5,0.0,0.2,0.7,0.0,0.01,0.01,1.0,0.0,0.0,71,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302528879080,2026-01-27T23:08:22.528880+00:00,stress_test_market_001,0.5,0.495,0.505,200,0.5,0.0,0.2,0.7,0.0,0.01,0.01,1.0,0.0,0.0,71,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302539012315,2026-01-27T23:08:22.539014+00:00,stress_test_market_001,0.5,0.495,0.505,200,0.5,0.0,0.2,0.7,0.0,0.01,0.01,1.0,0.0,0.0,71,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302655021350,2026-01-27T23:08:22.655024+00:00,stress_test_market_001,0.5,0.495,0.505,200,0.5,0.0,0.2,0.7,0.1,0.01,0.01,1.0,0.0,0.0,71,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302665253443,2026-01-27T23:08:22.665255+00:00,stress_test_market_001,0.505,0.5,0.51,198,0.5,-0.005,0.2,0.7,0.2,0.01,0.005,0.5,0.0,0.0,35,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302675455476,2026-01-27T23:08:22.675456+00:00,stress_test_market_001,0.505,0.5,0.51,198,0.5,-0.005,0.2,0.7,0.2,0.01,0.005,0.5,0.0,0.0,35,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302685642809,2026-01-27T23:08:22.685644+00:00,stress_test_market_001,0.505,0.5,0.51,198,0.5,-0.005,0.2,0.7,0.2,0.01,0.005,0.5,0.0,0.0,35,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302695902246,2026-01-27T23:08:22.695905+00:00,stress_test_market_001,0.505,0.5,0.51,198,0.5,-0.005,0.2,0.7,0.2,0.01,0.005,0.5,0.0,0.0,35,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302706101526,2026-01-27T23:08:22.706103+00:00,stress_test_market_001,0.505,0.5,0.51,198,0.5,-0.005,0.2,0.7,0.2,0.01,0.005,0.5,0.0,0.0,35,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302716270648,2026-01-27T23:08:22.716271+00:00,stress_test_market_001,0.495,0.49,0.5,202,0.5,0.005,0.2,0.7,0.2,0.01,0.006946,0.695,0.0,0.0,49,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
